1961;8.3
1962;10.5
1963;61.4
1964;17.4
1965;54.4
1966;12.6
1967;11.8
1968;20.9
1969;59.5
1970;76.7
1971;31.7
1972;20.1
1973;14.6
1974;4.6
1975;16.9
1976;13.4
1977;32.3
1978;26
1979;46.8
1980;37.5
1981;42.3
1982;23.6
1983;37.7
1984;21.9
1985;42.1
1986;18.7
1987;40.7
1988;25.3
1989;7.9
1990;8.3
1991;18.8
1992;8
1993;31.3
1994;7.4
1995;11.4
1996;13.8
1997;43.5
1998;6.6
1999;23.8
2000;7
2001;18
2002;22.4
2003;4.8
2004;26.3
2005;31.7
2006;20.3
2007;23.5
2008;7.8
2009;10.8
2010;59.3
2011;35.3
2012;10.7
2013;29
2014;4
2015;2
2016;9.2
2017;16.9
2018;7.7
2019;17.1
2020;1.3
2021;16.3
2022;11.2
