mode,node_id,x,y,z,ux,uy,uz,rx,ry,rz
1,1,0,0,0,0.000000000,0.000000000,0.000000000,-0.049500000,0.046200000,-0.307700000
1,2,0,0,1,0.029900000,0.032300000,0.000000000,-0.017100000,0.015600000,-0.272100000
1,3,0,0,2,0.033300000,0.036300000,0.000100000,0.006000000,-0.006000000,-0.236400000
1,4,0,0,3,0.020800000,0.023300000,0.000100000,0.016500000,-0.015500000,-0.200800000
1,5,0,0,4,0.005400000,0.006700000,0.000100000,0.012900000,-0.011700000,-0.165100000
1,6,0,0,5,0.000500000,0.000700000,0.000100000,-0.004300000,0.005000000,-0.129500000
1,7,0,0,6,0.003200000,0.003400000,0.000200000,-0.001400000,0.000900000,-0.121000000
1,8,0,0,7,0.002700000,0.003600000,0.000200000,0.000600000,-0.001500000,-0.112400000
1,9,0,0,8,0.000800000,0.002500000,0.000200000,0.001400000,-0.001900000,-0.103900000
1,10,0,0,9,-0.000700000,0.001000000,0.000300000,0.001200000,-0.000400000,-0.095400000
1,11,0,0,10,0.000400000,0.000400000,0.000300000,-0.000200000,0.002900000,-0.086800000
1,12,5,0,0,0.000000000,0.000000000,0.000000000,0.031000000,-0.041500000,0.239200000
1,13,5,0,1,-0.027000000,-0.021100000,0.000000000,0.012100000,-0.014100000,0.213300000
1,14,5,0,2,-0.030200000,-0.025300000,0.000000000,-0.002200000,0.005200000,0.187300000
1,15,5,0,3,-0.019100000,-0.018300000,0.000000000,-0.009800000,0.013900000,0.161300000
1,16,5,0,4,-0.005100000,-0.007400000,0.000000000,-0.009800000,0.010800000,0.135400000
1,17,5,0,5,-0.000200000,-0.000500000,0.000100000,-0.002100000,-0.003800000,0.109400000
1,18,5,0,6,-0.002300000,0.001600000,0.000100000,-0.001900000,-0.000700000,0.103700000
1,19,5,0,7,-0.002000000,0.003100000,0.000100000,-0.001100000,0.001100000,0.098100000
1,20,5,0,8,-0.000500000,0.003600000,0.000100000,0.000200000,0.001500000,0.092400000
1,21,5,0,9,0.000700000,0.002700000,0.000100000,0.001800000,0.000500000,0.086800000
1,22,5,0,10,0.000200000,-0.000100000,0.000100000,0.003800000,-0.001800000,0.081100000
1,23,5,5,0,0.000000000,0.000000000,0.000000000,0.002000000,0.002900000,-0.079100000
1,24,5,5,1,-0.001500000,-0.003000000,0.000000000,0.003600000,-0.004400000,-0.091100000
1,25,5,5,2,-0.007600000,-0.006600000,0.000000000,0.003100000,-0.006300000,-0.103100000
1,26,5,5,3,-0.012900000,-0.008800000,0.000000000,0.000700000,-0.003000000,-0.115100000
1,27,5,5,4,-0.012300000,-0.007500000,0.000000000,-0.004000000,0.005700000,-0.127100000
1,28,5,5,5,-0.000100000,-0.000300000,0.000000000,-0.011100000,0.020400000,-0.139100000
1,29,5,5,6,0.012400000,0.006100000,-0.000100000,-0.002500000,0.006000000,-0.135000000
1,30,5,5,7,0.013100000,0.005600000,-0.000100000,0.002400000,-0.003000000,-0.130800000
1,31,5,5,8,0.007700000,0.002000000,-0.000100000,0.003700000,-0.006400000,-0.126700000
1,32,5,5,9,0.001500000,-0.001000000,-0.000200000,0.001400000,-0.004300000,-0.122600000
1,33,5,5,10,0.000400000,0.000200000,-0.000200000,-0.004700000,0.003400000,-0.118500000
1,34,0,5,0,0.000000000,0.000000000,0.000000000,0.002700000,-0.002700000,0.083800000
1,35,0,5,1,0.002300000,0.000200000,0.000000000,-0.002200000,0.005600000,0.098300000
1,36,0,5,2,0.009700000,0.003600000,0.000000000,-0.003700000,0.007600000,0.112800000
1,37,0,5,3,0.016100000,0.007000000,0.000000000,-0.002000000,0.003400000,0.127300000
1,38,0,5,4,0.015100000,0.006900000,0.000000000,0.003000000,-0.007200000,0.141800000
1,39,0,5,5,0.000000000,0.000100000,0.000000000,0.011700000,-0.024900000,0.156300000
1,40,0,5,6,-0.015400000,-0.007300000,0.000000000,0.003800000,-0.007600000,0.150500000
1,41,0,5,7,-0.016700000,-0.008200000,0.000000000,-0.001300000,0.003300000,0.144800000
1,42,0,5,8,-0.010300000,-0.005400000,0.000100000,-0.003600000,0.007700000,0.139000000
1,43,0,5,9,-0.002700000,-0.001600000,0.000100000,-0.003200000,0.005800000,0.133300000
1,44,0,5,10,-0.000200000,0.000400000,0.000100000,0.000000000,-0.002600000,0.127500000
